GridDefinition,1,"Func<QueryOptions, QueryResult<T1>>",RetrieveData,"This is the method that will actually query the data to populate the grid.  Use entity framework, a module from you IoC container, direct SQL queries, etc.  to get the data. The QueryOptions object will be provided and will be populated with the currently requested sorting, paging, and filtering options which you must take into account. You must return a QueryResult object which takes an enumerable of your type and a count of the total number of records which must be provided if paging is enabled."
GridDefinition,2,bool,Paging,Enables paging on the grid
GridDefinition,3,int,ItemsPerPage,Number of items to display on each page
GridDefinition,4,bool,Sorting,"Enables sorting on the grid. Note, sorting must also be enabled on each column where sorting is wanted"
GridDefinition,5,string,DefaultSortColumn,The default column to sort by when no sort is specified
GridDefinition,6,bool,Filtering,"Enables filtering on the grid. Note, filtering must also be enabled on each column where filtering is wanted"
GridDefinition,7,bool,PreloadData,Enables data loading when the page is first loaded so that the initial ajax request can be skipped.
GridDefinition,8,string,QueryStringPrefix,"A prefix to add to all query string paramters for this grid, for when there are more than 1 grids on the same page"
GridDefinition,9,string,NoResultsMessage,Text to display when there are no results.
GridDefinition,10,string,ClientSideLoadingMessageFunctionName,Name of function to call before ajax call begins
GridDefinition,11,string,ClientSideLoadingCompleteFunctionName,Name of function to call before ajax call ends
GridDefinition,1,"Func<T1, GridContext, string>",RowCssClassExpression,Use this to specify a custom css class based on data for the current row
GridColumn,2,string,ColumnName,A unique name for this column
GridColumn,3,string,HeaderText,"Header text to display for the current column, if different from ColumnName"
GridColumn,4,"Func<T1, GridContext, string>",ValueExpression,"This is how to specify the contents of the current cell. If this contains HTML, set HTMLEncode to false"
GridColumn,5,"Func<T1, GridContext, string>",PlainTextValueExpression,"This is how to specify the contents of the current cell when used in an export file, if different that ValueExpression"
GridColumn,6,"Func<T1, GridContext, string>",CellCssClassExpression,Use this to specify a custom css class based on data for the current cell
GridColumn,7,bool,EnableSorting,Enables sorting on this column
GridColumn,8,bool,EnableFiltering,Enables filtering on this column
GridColumn,9,bool,HtmlEncode,Disables html encoding on the data for the current cell. Turn this off if your ValueExpression returns HTML.
